Qualification_level,Awarding_institution,"Qualification Name",Qualification_Code,Date_Awarded,Where_Qualification_is_approved,Awarding_Institution_Country,Important_Information
ECT,"University of South Australia","Diploma of Teaching (Primary Early Childhood)",,"Any date if enrolled prior to 1 January 2012",National,Australia,"University of South Australia was formerly known by a different name: South Australian Institute of Technology OR South Australian College of Advanced Education"
ECT,"University of South Australia","Graduate Certificate in Education (early childhood leadership)",LCAV,"Any date if enrolled prior to 1 January 2017",National,Australia,
ECT,"University of South Australia","Master of Education (early childhood leadership)",MMEU,"Any date if enrolled prior to 1 January 2017",National,Australia,
ECT,"University of South Australia","Master of Teaching (Early Childhood)","MMEA / MMET","Any date if enrolled prior to November 2017",National,Australia,"ACECQA reassessed and reapproved this qualification on 9 November 2012."
ECT,"University of South Australia","Bachelor of Early Childhood Education (Honours)","MHEC, LHEC","Any date if enrolled prior to March 2029",National,Australia,"ACECQA reassessed and reapproved this qualification on 16 February 2024.From 2026, the University of South Australia will be known as Adelaide University, due to the amalgamation of University of Adelaide and University of South Australia. From 2026 to the end of 2028, this qualification may be awarded by Adelaide University."
ECT,"University of South Australia","Master of Teaching (Early Childhood)",MMET,"Any date if enrolled prior to January 2026",National,Australia,"ACECQA assessed and approved this qualification on 28 January 2020.From 2026, the University of South Australia will be known as Adelaide University, due to the amalgamation of University of Adelaide and University of South Australia. From 2026 to the end of 2028, this qualification may be awarded by Adelaide University."
ECT,"University of South Australia","Bachelor of Early Childhood (B-5 years)",MBXC,"Any date prior to April 2028",National,Australia,"ACECQA assessed and approved this qualification on 30 March 2023.From 2026, the University of South Australia will be known as Adelaide University, due to the amalgamation of University of Adelaide and University of South Australia. From 2026 to the end of 2028, this qualification may be awarded by Adelaide University."
Diploma,"University of Southern Queensland","Associate Degree in General Education Studies",,"Any date before 1 January 2012",National,Australia,
ECT,"University of Southern Queensland","Bachelor of Early Childhood",,"Any date if enrolled prior to 1 January 2012",National,Australia,
ECT,"University of Southern Queensland","Bachelor of Early Childhood",BECH,"Any date if enrolled prior to January 2029",National,Australia,"ACECQA reassessed and reapproved this qualification on 5 December 2023."
ECT,"University of Southern Queensland","Bachelor of Early Childhood Education",,"Any date if enrolled prior to 1 January 2012",National,Australia,
ECT,"University of Southern Queensland","Bachelor of Early Childhood Studies (Child Care)",,"Any date if enrolled prior to 1 January 2012",National,Australia,
ECT,"University of Southern Queensland","Bachelor of Education (Early Childhood)","BEED / BEDU / BEDU-EC","Any date if enrolled prior to January 2024",National,Australia,"ACECQA reassessed and reapproved this qualification on 15 November 2017. Transcript must show individual completed Early Childhood specialisation."
Diploma,"University of Southern Queensland","Bachelor of General Education Studies exit from Bachelor of Education (Early Childhood)",,"Any date before 1 January 2017",National,Australia,
ECT,"University of Southern Queensland","Bachelor of Teaching with specialisation in Early Childhood Education",,"Any date if enrolled prior to 1 January 2012",National,Australia,
ECT,"University of Southern Queensland","Diploma of Teaching (Primary) with specialisation in Early Childhood Education",,"Any date if enrolled prior to 1 January 2012",National,Australia,
ECT,"University of Southern Queensland","Graduate Diploma of Education (Child Care)",,"Any date if enrolled prior to 1 January 2012",National,Australia,
ECT,"University of Southern Queensland","Graduate Diploma of Education (Early Childhood Studies)",,"Any date if enrolled prior to 1 January 2012",National,Australia,
Diploma,"University of Southern Queensland","Master of Education with a major in Early Childhood",,"Any date before 1 January 2017",National,Australia,
ECT,"University of Southern Queensland","Master of Learning and Development (Early Childhood)",,"Any date if enrolled prior to 1 January 2012",National,Australia,
ECT,"University of Southern Queensland","Master of Learning and Development (with a specialisation in Early Childhood)","MLAD-EC / MLDA-EC","Any date if enrolled prior to 1 January 2017",National,Australia,
ECT,"University of Southern Queensland","Master of Learning and Teaching (Early Years)",MELT,"Any date if enrolled prior to 1 February 2026",National,Australia,"ACECQA assessed and approved this qualification on 25 January 2021."
ECT,"University of Southern Queensland","Graduate Diploma of Early Childhood Education and Care",GDCH,"Any date if enrolled prior to February 2027",National,Australia,"ACECQA assessed and approved this qualification on 21 January 2022."
ECT,"University of Southern Queensland","Graduate Certificate of Early Childhood Education and Care",GCCH,"Any date if enrolled prior to February 2027",National,Australia,"ACECQA assessed and approved this qualification on 21 January 2022."
ECT,"University of Southern Queensland","Bachelor of Education (Early Childhood)",BEED,"Any date prior to January 2029",National,Australia,"ACECQA assessed and approved this qualification on 5 December 2023."
ECT,"University of Southern Queensland","Master of Learning and Teaching (Early Years)",MELT,"Any date if enrolled prior to January 2031",National,Australia,"ACECQA reassessed and reapproved this qualification on 16 January 2026."
ECT,"University of Sydney","Bachelor of Education (Early Childhood)",,"Any date if enrolled prior to 1 January 2012",National,Australia,
ECT,"University of Sydney","Bachelor of Education Pre-Primary",,"Any date if enrolled prior to 1 January 2012",National,Australia,
ECT,"University of Sydney","Bachelor of Teaching (Early Childhood)",XH028,"Any date if enrolled prior to 1 January 2017",National,Australia,
ECT,"University of Sydney","Diploma of Teaching (Early Childhood Education)",,"Any date if enrolled prior to 1 January 2012",National,Australia,
ECT,"University of Sydney","Diploma of Teaching (Infants Education)",,"Any date if enrolled prior to 1 January 2012",National,Australia,
ECT,"University of Sydney","Master of Teaching","XC034 / XC007","Any date if enrolled prior to May 2019",National,Australia,"ACECQA reassessed and reapproved this program on 19 May 2014. Transcript must show individual completed the Early Childhood Education specialisation."
ECT,"University of Sydney","Bachelor of Education (Early Childhood)","BUEDUECH-01 / XH033","Any date if enrolled prior to June 2021",National,Australia,"ACECQA assessed and approved this qualification on 29 June 2016. This qualification is also known as the Bachelor of Education (Early Childhood Education) with course code BUEDUECH-01."
ECT,"University of Sydney","Master of Teaching (Early Childhood)",MATEACHI‐02,"Any date if enrolled prior to January 2025",National,Australia,"ACECQA assessed and approved this qualification 6 December 2018."
ECT,"University of Sydney","Bachelor of Education (Early Childhood)","BUEDUECH-01 / BPEDUECH-01","Any date if enrolled prior to December 2027",National,Australia,"ACECQA assessed and approved this qualification on 8 July 2021. This qualification is also known as the Bachelor of Education (Early Childhood Education)."
ECT,"University of Sydney","Master of Teaching (Early Childhood)",MATEACHI-02,"Any date if enrolled prior to January 2030",National,Australia,"ACECQA assessed and approved this qualification on 19 December 2024."
Diploma,"University of Szezecin","Master of Arts in Pedagogics",,"Any date before 1 January 2012",Queensland,Poland,"This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
Diploma,"University of Tal Ca","Early Childhood Teacher",,"Any date before 1 January 2012",Queensland,Chile,"This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
ECT,"University of Tasmania","Bachelor of Education (together with ECE specialisation evidence)",,"Any date if enrolled prior to 1 January 2012",National,Australia,
ECT,"University of Tasmania","Bachelor of Education and Care (Early Years) together with an approved diploma level education and care qualification",,"Any date if enrolled prior to 1 January 2012",National,Australia,
ECT,"University of Tasmania","Bachelor of Teaching (together with ECE specialisation evidence)",,"Any date if enrolled prior to 1 January 2012",National,Australia,
Diploma,"University of Tasmania","Diploma of Child Care (or Early Childhood)",,"Any date before 1 January 2017",National,Australia,"Also known as 'Diploma in Child Care (or Early Childhood)'."
ECT,"University of Tasmania","Diploma of Teaching (Early Childhood Education)",,"Any date if enrolled prior to 1 January 2012",National,Australia,
ECT,"University of Tasmania","Diploma of Teaching (Early Childhood)",,"Any date if enrolled prior to 1 January 2012",National,Australia,
ECT,"University of Tasmania","Graduate Diploma in Education (Early Childhood)",,"Any date if enrolled prior to 1 January 2012",National,Australia,
ECT,"University of Tasmania","Graduate Certificate in Education (Early Childhood)","E5 / E5L","Any date if enrolled prior to September 2019",National,Australia,"ACECQA assessed and approved this program on 11 June 2014."
ECT,"University of Tasmania","Bachelor of Arts together with a Diploma of Education and ECE specialisation evidence",,"Any date if enrolled prior to 1 January 2012",National,Australia,
ECT,"University of Tasmania","Diploma of Education together with a Bachelor degree and ECE specialisation evidence",,"Any date if enrolled prior to 1 January 2012",National,Australia,"One year Diploma of Education issued prior to 1997. Diploma of Education must show evidence of ECE specialisation and be combined with a three year Bachelor degree."
ECT,"University of Tasmania","Bachelor of Education (Early Childhood)",43A,"Any date if enrolled prior to February 2021",National,Australia,"ACECQA reassessed and reapproved this qualification on 5 February 2016."
ECT,"University of Tasmania","Graduate Certificate in Early Childhood Education","E5M / E5R / E5Y","Any date if enrolled prior to August 2030",National,Australia,"ACECQA reassessed and reapproved this program on 15 August 2025. The transcript must show evidence that the early childhood specialisation was completed. This qualification was also previously known as the 'Graduate Certificate in Education (Specialisation)' with course code 'E5R'.The Graduate Certificate in Early Childhood Education E5M may be undertaken as a standalone post graduate program or commenced at year three of the Bachelor of Education (Primary) as a part of the double degree E5Y Bachelor of Education (Primary) and Graduate Certificate in Early Childhood Education.If undertaken as a part of the double degree students must be issued with a testamur for the Bachelor of Education (Primary) and a separate testamur for the Graduate Certificate in Early Childhood Education. The transcript must also state enrolment/conferral of Bachelor of Education (Primary) and Graduate Certificate in Early Childhood Education. Please note only the Graduate Certificate in Early Childhood Education is an ACECQA approved program as a part of the double degree. The Bachelor of Education (Primary) is not an ACECQA approved qualification."
Diploma,"University of the Free State","Baccalaureus Educationis (Preschool and Foundation phase)",,"Any date before 1 January 2012",Queensland,"South Africa","This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
"Certificate III","University of the South Pacific","Certificate in Early Childhood Education",,"Any date before 1 January 2012",Queensland,Fiji,"This qualification was previously assessed by the Queensland Government as being the equivalent to a Certificate III qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
Diploma,"University of the South Pacific","Diploma in Early Childhood Education",,"Any date before 1 January 2012",Queensland,Fiji,"This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
"Certificate III","University of the South Pacific","Certificate III in Early Childhood Education and Care",CECC,"Any date before July 2024",National,Fiji,"ACECQA assessed and approved this qualification on 29 June 2016."
ECT,"University of the South Pacific","Bachelor of Education (Early Childhood Education and Care)(Inservice)",,"Any date if enrolled prior to April 2022",National,Fiji,"ACECQA assessed and approved this program on 18 April 2017."
Diploma,"University of the South Pacific","Diploma in Early Childhood Care and Education (Level 5)",CEDE,"Any date before March 2030",National,Fiji,"ACECQA reassessed and reapproved this program on 4 February 2025. This qualification was formerly known as the:Diploma of Early Childhood Education and Care (Level 5)Diploma of Early Childhood Education and CareDiploma of Early Childhood Care & Education (Level 5) DECEC / DECCE"
"Certificate III","University of the South Pacific","Certificate III in Early Childhood Care and Education",C3ECCE,"Any date before September 2029",National,Fiji,"ACECQA assessed and reapproved this qualification on 19 August 2024."
ECT,"University of the Sunshine Coast","Bachelor of Early Childhood Education",ED303,"Any date if enrolled prior to 1 January 2017",National,Australia,
ECT,"University of the Sunshine Coast","Bachelor of Education (Early Childhood)/Bachelor of Human Services Double Degree",,"Any date if enrolled prior to 1 January 2012",National,Australia,
ECT,"University of the Sunshine Coast","Graduate Diploma in Education (Early Learning)",,"Any date if enrolled prior to 1 January 2012",National,Australia,
ECT,"University of the Sunshine Coast","Graduate Diploma in Education Preparatory to year three",ED602,"Any date if enrolled prior to 1 January 2017",National,Australia,
ECT,"University of the Sunshine Coast","Graduate Diploma in Education with specialisation in Early Learning",,"Any date if enrolled prior to 1 January 2012",National,Australia,"Also known as the Graduate Diploma in Education Early Phase Specialisation."
ECT,"University of the Sunshine Coast","Bachelor of Education (Early Childhood)",ED303,"Any date if enrolled prior to November 2021",National,Australia,"ACECQA assessed and approved this qualification on 5 April 2016."
ECT,"University of the Sunshine Coast","Graduate Diploma in Education Early Phase specialisation",,"Any date if enrolled prior to 1 January 2012",National,Australia,"Also known as the Graduate Diploma in Education with Specialisation in Early Learning."
ECT,"University of the Sunshine Coast","Bachelor of Education (Early Childhood)",ED303,"Any date if enrolled prior to February 2027",National,Australia,"ACECQA assessed and approved this qualification on 21 January 2022."
Diploma,"University of the Sunshine Coast","Diploma in Education Studies (Early Childhood)","ED101 / DipEdStudies(EC)","Any date if enrolled prior to March 2028",National,Australia,"ACECQA assessed and approved this qualification on 24 February 2023."
ECT,"University of the Sunshine Coast","Bachelor of Education Studies (Early Childhood)",UB009,"Any date if enrolled prior to July 2029",National,Australia,"ACECQA assessed and approved this qualification on 21 June 2024."
Diploma,"University of the West of England","Post Graduate Diploma with Merit in Education (Early Years)",,"Any date before 1 January 2012",Queensland,"United Kingdom","This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
Diploma,"University of Vermont","Bachelor of Science (Early Childhood Pre K-3)",,"Any date before 1 January 2012",Queensland,"United States of America","This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
Diploma,"University of Waikato","Bachelor of Teaching (Early Childhood Education)",,"Any date before 1 January 2012",Queensland,"New Zealand","This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
Diploma,"University of Waikato","Bachelor of Teaching (Early Childhood Programme)",,"Any date before 1 January 2012",Queensland,"New Zealand","This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
Diploma,"University of Waikato","Diploma of Teaching (Early Childhood Care and Education)",,"Any date before 1 January 2012",Queensland,"New Zealand","This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
Diploma,"University of Waikato","Graduate Diploma of Teaching (Early Childhood)",,"Any date before 1 January 2012",Queensland,"New Zealand","This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
Diploma,"University of Wales","Bachelor of Arts (Honours) in Education with QTS (Physical Education)(Early Years)",,"Any date before 1 January 2012",Queensland,"United Kingdom","This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
Diploma,"University of Wales","Bachelor of Arts in Education: Primary studies with Second Class Honours (Early Years-Key Stage 1)",,"Any date before 1 January 2012",Queensland,"United Kingdom","This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
Diploma,"University of Wales","Certificate in Education (specialisation in Nursery and Infants)",,"Any date before 1 January 2012",Queensland,"United Kingdom","This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
Diploma,"University of Warwick","Post Graduate Certificate in Education (PGCE)(Early Years)",,"Any date before 1 January 2012",Queensland,"United Kingdom","This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
ECT,"University of Western Australia","Master of Teaching (Early Childhood)","31520 / 31590","Any date if enrolled prior to June 2020",National,Australia,"ACECQA reassessed and reapproved this qualification on 18 June 2015."
ECT,"University of Western Australia","Graduate Certificate in Early Childhood Education and Care",32330,"Any date if enrolled prior to November 2023",National,Australia,"ACECQA assessed and approved this qualification on 10 October 2018."
ECT,"University of Western Australia","Master of Teaching (Early Childhood Teaching)",31520.1,"Any date if enrolled prior to October 2024",National,Australia,"ACECQA reassessed and reapproved this qualification on 2 October 2019"
Diploma,"University of Winchester","Bachelor of Arts Education Studies (Early Childhood)",,"Any date before 1 January 2012",Queensland,"United Kingdom","This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
Diploma,"University of Wisconsin","Bachelor of Science in Early Childhood Education",,"Any date before 1 January 2012",Queensland,"United States of America","This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
ECT,"University of Wollongong","Bachelor of Early Childhood Education",,"Any date if enrolled prior to 1 January 2012",National,Australia,
ECT,"University of Wollongong","Bachelor of Education (Early Childhood Education)",,"Any date if enrolled prior to 1 January 2012",National,Australia,
ECT,"University of Wollongong","Bachelor of Teaching (Early Childhood Education)",,"Any date if enrolled prior to 1 January 2012",National,Australia,"May also be known as Bachelor of Teaching (Early Childhood)."
ECT,"University of Wollongong","Bachelor of Education – The Early Years",1816,"Any date if enrolled prior to January 2019",National,Australia,"ACECQA assessed and approved this program on 23 January 2014."
ECT,"University of Wollongong","Bachelor of Education – The Early Years (Honours)",341,"Any date if enrolled prior to January 2019",National,Australia,"ACECQA assessed and approved this program on 23 January 2014."
ECT,"University of Wollongong","Bachelor of Education – The Early Years (Dean’s Scholar)",1821,"Any date if enrolled prior to January 2019",National,Australia,"ACECQA assessed and approved this program on 23 January 2014."
ECT,"University of Wollongong","Bachelor of Education - The Early Years",1816,"Any date if enrolled prior to March 2030",National,Australia,"ACECQA reassessed and reapproved this program on 7 February 2025."
ECT,"University of Wollongong","Bachelor of Education - The Early Years (Honours)",341,"Any date if enrolled prior to March 2030",National,Australia,"ACECQA reassessed and reapproved this qualification on 4 February 2025. "
ECT,"University of Wollongong","Bachelor of Education - The Early Years (Dean's Scholar)",1821,"Any date if enrolled prior to March 2025",National,Australia,"ACECQA assessed and approved this program 11 February 2019."
Diploma,"University of Worcester","Foundation Degree Arts in Early Years (Senior Practitioner Status)",,"Any date before 1 January 2012",Queensland,"United Kingdom","This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
Diploma,"Uppsala University","Degree of Master of Education for Teaching in Pre-school, Pre-school Class, Leisure Centre for School children and Compulsory School, Earlier Years",,"Any date before 1 January 2012",Queensland,Sweden,"This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
ECT,Various,"Teacher accreditation with the NSW Institute of Teachers AND a primary or secondary teaching qualification AND an approved early childhood education and care certificate III or higher qualification published on ACECQA's qualification lists",,"Any date",National,Australia,"Teacher accreditation is under the Institute of Teachers Act 2004 (NSW) - Primary and secondary teachers registered with the New Zealand Teachers Council must seek mutual recognition with the relevant state and territory registration authority to be eligible to be an early childhood teacher in Australia."
ECT,Various,"Teacher registration with the ACT Teacher Quality Institute AND a primary or secondary teaching qualification AND an approved early childhood education and care certificate III or higher qualification published on ACECQA's qualification lists",,"Any date",National,Australia,"Teacher registration is under the ACT Teacher Quality Institute Act 2010 (ACT) - Primary and secondary teachers registered with the New Zealand Teachers Council must seek mutual recognition with the relevant state and territory registration authority to be eligible to be an early childhood teacher in Australia."
ECT,Various,"Teacher registration with the Queensland College of Teachers AND a primary or secondary teaching qualification AND an approved early childhood education and care certificate III or higher qualification published on ACECQA's qualification lists",,"Any date",National,Australia,"Teacher registration is under the Education (Queensland College of Teachers) Act 2005 (Qld) - Primary and secondary teachers registered with the New Zealand Teachers Council must seek mutual recognition with the relevant state and territory registration authority to be eligible to be an early childhood teacher in Australia."
ECT,Various,"Teacher registration with Teacher Registration Board of Northern Territory AND a primary/secondary teaching qualification AND an approved early childhood education and care certificate III or higher qualification published on ACECQA's qualification list",,"Any date",National,Australia,"Teacher registration is under the Teacher Registration (Northern Territory) Act (NT) - Primary and seondary teachers registered with the New Zealand Teachers Council must seek mutual recognition with the relevant state and territory registration authority to be eligible to be an early childhood teacher in Australia."
ECT,Various,"Teacher registration with Teacher Registration Board of Western Australia AND a primary or secondary teaching qualification AND an approved early childhood education and care certificate III or higher qualification published on ACECQA's qualification list",,"Any date",National,Australia,"Teacher registration is under the Teacher Registration Act 2012 (WA) - Primary and secondary teachers registered with the New Zealand Teachers Council must seek mutual recognition with the relevant state and territory registration authority to be eligible to be an early childhood teacher in Australia."
ECT,Various,"Teacher registration with Teacher Registration Board of South Australia AND a primary or secondary teaching qualification AND an approved early childhood education and care certificate III or higher qualification published on ACECQA's qualification list",,"Any date",National,Australia,"Teacher registration is under the Teachers Registration and Standards Act 2004 (SA) - Primary and secondary teachers registered with the New Zealand Teachers Council must seek mutual recognition with the relevant state and territory registration authority to be eligible to be an early childhood teacher in Australia."
ECT,Various,"Teacher registration with the Teachers Registration Board of Tasmania AND a primary or secondary teaching qualification AND an approved early childhood  education and care certificate III or higher qualification published on ACECQA's qualification lists",,"Any date",National,Australia,"Teacher registration is under the Teachers Registration Act 2000 (Tas) - Primary and secondary teachers registered with the New Zealand Teachers Council must seek mutual recognition with the relevant state and territory registration authority to be eligible to be an early childhood teacher in Australia."
ECT,Various,"Teacher registration with the Victorian Institute of Teaching AND a primary or secondary teaching qualification AND an approved early childhood education and care certificate III or higher qualification published on ACECQA's qualification lists",,"Any date",National,Australia,"Teacher registration is under the Education and Training Reform Act 2006 (Vic) - Primary and secondary teachers registered with the New Zealand Teachers Council must seek mutual recognition with the relevant state and territory registration authority to be eligible to be an early childhood teacher in Australia."
"Suitably qualified person",Various,"An individual who is ‘actively working towards’ an approved early childhood teaching qualification AND has completed at least 50 per cent of the qualification or holds an approved early childhood education and care diploma",,"Any date",National,Australia,"See Regulation 10 of the National Regulations for the meaning of ‘actively working towards’ a qualification."
"Suitably qualified person",Various,"Teacher registration/accreditation in Australia AND a primary or secondary teaching qualification AND an approved early childhood education and care diploma or higher qualification published on ACECQA's qualification lists",,"Any date",National,Australia,"Primary or secondary teachers registered with the New Zealand Teachers Council must seek mutual recognition with the relevant state and territory regulatory authority to meet these requirements."
ECT,"Victoria University","Bachelor of Arts (Early Childhood Education)",,"Any date if enrolled prior to 1 January 2012",National,Australia,"Victoria University was formerly known by a different name: Victoria University of Technology OR Prahan College of Technical and Further Education"
ECT,"Victoria University","Bachelor of Education (Early Childhood / Primary)",ABEC,"Any date if enrolled prior to 1 January 2017",National,Australia,
ECT,"Victoria University","Graduate Diploma in Early Childhood Teaching",AGTE,"Any date if enrolled prior to 1 January 2017",National,Australia,
ECT,"Victoria University","Master of Teaching (Early Childhood)",EMTC,"Any date if enrolled prior to January 2020",National,Australia,"ACECQA assessed and approved this program on 9 January 2015."
ECT,"Victoria University","Bachelor in Early Childhood Education",EBEC,"Any date if enrolled prior to October 2022",National,Australia,"ACECQA assessed and approved this qualification on 18 October 2017."
ECT,"Victoria University","Graduate Diploma in Early Childhood Education",EGEC,"Any date if enrolled prior to April 2028",National,Australia,"ACECQA reassessed and reapproved this program on 20 March 2023."
ECT,"Victoria University","Bachelor of Early Childhood Education",EBEC,"Any date if enrolled prior to October 2026",National,Australia,"ACECQA assessed and approved this qualification on 1 February 2021. This qualification is also known as the Bachelor of Early Childhood Teaching, course code EBEI."
ECT,"Victoria University","Bachelor of Early Childhood Education and Leadership",EBCL,"Any date if enrolled prior to October 2026",National,Australia,"ACECQA assessed and approved this qualification on 1 February 2021."
ECT,"Victoria University","Bachelor of Early Childhood Education",EBEC,"Any date if enrolled prior to July 2031",National,Australia,"ACECQA reassessed and reapproved this qualification on 29 July 2026."
ECT,"Victoria University","Bachelor of Early Childhood Education and Leadership",EBCL,"Any date if enrolled prior to July 2031",National,Australia,"ACECQA reassessed and reapproved this qualification on 29 July 2026."
Diploma,"Victoria University of Wellington","Diploma of Teaching (Early Childhood Education)",,"Any date before 1 January 2012",Queensland,"New Zealand","This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
Diploma,"Victoria University of Wellington","Bachelor of Education (Teaching) Early Childhood",,"Any date before 1 January 2012",Queensland,"New Zealand","This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
Diploma,"WA Education Department & Technical Education Division (various colleges)","Diploma of Children's Services (0 - 5 Years)",,"Any date before 1 January 2017",National,Australia,
Diploma,"WA Education Department & Technical Education Division (various colleges)","Child Care Certificate",,"Any date before 1 January 2017",National,Australia,"Also known as 'Certificate in Childcare'"
Diploma,"WA Registered Training Organisations","Diploma of Children's Services (0 - 5 years)",,"Any date before 1 January 2017",National,Australia,
Diploma,"Waiariki Institute of Technology","Diploma of Teaching (Early Childhood Education)",,"Any date before 1 January 2012",Queensland,"New Zealand","This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
"Certificate III","Waiariki Institute of Technology","Foundation Certificate in Early Childhood Care and Education",WR2713,"Any date before 1 January 2012",Queensland,"New Zealand","This qualification was previously assessed by the Queensland Government as being the equivalent to a Certificate III qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
"Certificate III","Waikato Institute of Technology","Certificate in Early Childhood Education",WK2383,"Any date before 1 January 2012",Queensland,"New Zealand","This qualification was previously assessed by the Queensland Government as being the equivalent to a Certificate III qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
Diploma,"Waikato Institute of Technology","Diploma of Teaching (Early Childhood)",,"Any date before 1 January 2012",Queensland,"New Zealand","This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
Diploma,"Wellington College of Education","Diploma of Teaching (Early Childhood Education)",,"Any date before 1 January 2012",Queensland,"New Zealand","This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
Diploma,"Wellington College of Education","Diploma of Teaching (Early Childhood)",,"Any date before 1 January 2012",Queensland,"New Zealand","This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
