Qualification_level,Awarding_institution,"Qualification Name",Qualification_Code,Date_Awarded,Where_Qualification_is_approved,Awarding_Institution_Country,Important_Information
Diploma,"Any Australian registered training organisation or accredited higher education provider","Diploma of Education Support","30635QLD, 30212QLD","Any date before 1 January 2017",National,Australia,
"Certificate III","Any Australian registered training organisation or accredited higher education provider","Mothercraft/Mothercraft Nurse Certificate",,"Any date before 1 January 2012",National,Australia,
"Certificate III","Any Australian registered training organisation or accredited higher education provider","Pre-School Teachers Aide Certificate",,"Any date before 1 January 2012",National,Australia,
"First Aid only","Any Australian registered training organisation or accredited higher education provider","Provide first aid",HLTAID003,"Any date",National,Australia,"HLTAID003 was superseded by HLTAID011 on 15 October 2020."
"First Aid only","Any Australian registered training organisation or accredited higher education provider","Provide first aid in remote situations",HLTAID005,"Any date",National,Australia,"HLTAID005 was superseded by HLTAID013 on 15 October 2020."
"First Aid only","Any Australian registered training organisation or accredited higher education provider","Provide advanced first aid",HLTAID006,"Any date",National,Australia,"HLTAID006 was superseded by HLTAID014 on 15 October 2020."
"Anaphylaxis Management only","Any Australian registered training organisation or accredited higher education provider","Ensure the health and safety of children","CHCCN301C / CHCCN301B","Any date before 30 June 2013",National,Australia,"This course is no longer current. CHCCN301C was superseded by CHCECE002 on 30 June 2013."
"Emergency Asthma and Anaphylaxis","Any Australian registered training organisation or accredited higher education provider","Ensure the health and safety of children",CHCECE002,"Any date",National,Australia,"This qualification only satisfies the requirements for emergency asthma and anaphylaxis management training. CHCECE002 supersedes CHCCN301C"
"Certificate III","Any Australian registered training organisation or accredited higher education provider","Certificate III in Education Support","See notes","Any date before 1 January 2012",National,Australia,"Known codes include, but not limited to: 30613QLD, 30210QLD"
"Certificate III","Any Australian registered training organisation or accredited higher education provider","Certificate III in Childrens Services (Early Childhood Care)",2307AAC,"Any date before 1 January 2012",National,Australia,
"Emergency Asthma only","Any Australian registered training organisation or accredited higher education provider","Course in the Management of Asthma Risks and Emergencies in the Workplace",22282VIC,"Any date prior to 24 August 2020",National,Australia,"ACECQA assessed and approved this program on 24 February 2015. "
"Anaphylaxis Management only","Any Australian registered training organisation or accredited higher education provider","Course in First Aid Management of Anaphylaxis",22300VIC,"Any date before July 2021",National,Australia,"ACECQA assessed and approved this qualification on 11 March 2016. This qualification only satisfies the requirements for anaphylaxis management training."
"Anaphylaxis Management only","Any Australian registered training organisation or accredited higher education provider","Course in Allergy and Anaphylaxis",10710NAT,"Any date before July 2023",National,Australia,"ACECQA assessed and approved this program on 27 June 2018. This qualification only satisfies the requirements for anaphylaxis management training. "
"First Aid, Asthma and Anaphylaxis","Any Australian registered training organisation or accredited higher education provider","Course in Recognition and First Aid Care for Sick or Injured Children",10199NAT,"Any date if enrolled prior to May 2024",National,Australia,"ACECQA assessed and approved this program on 17 April 2019."
"Emergency Asthma only","Any Australian registered training organisation or accredited higher education provider","Course in the Management of Asthma Risks and Emergencies in the Workplace",22556VIC,"Any date prior to December 2025",National,Australia,"ACECQA assessed and approved this program on 10 August 2020.

This course replaces course 22282VIC."
"First Aid only","Any Australian registered training organisation or accredited higher education provider","Provide advanced first aid",HLTAID014,"Any date",National,Australia,
"First Aid only","Any Australian registered training organisation or accredited higher education provider","Provide first aid in remote or isolated site",HLTAID013,"Any date",National,Australia,
"First Aid only","Any Australian registered training organisation or accredited higher education provider","Provide first aid",HLTAID011,"Any date",National,Australia,
"First Aid, Asthma and Anaphylaxis","Any Australian registered training organisation or accredited higher education provider","Provide first aid in an education and care setting",HLTAID012,"Any date",National,Australia,
"Anaphylaxis Management only","Any Australian registered training organisation or accredited higher education provider","Course in First Aid Management of Anaphylaxis",22578VIC,"Any date prior to September 2026",National,Australia,"ACECQA assessed and approved this program on 11 August 2021. This qualification only satisfies the requirements for anaphylaxis management training."
"Certificate III","Any Australian registered training organisation or accredited higher education provider","Certificate III in Early Childhood Education and Care",CHC30121,"Any date",National,Australia,"CHC30121 is superseded by CHC30125 Certificate III in Early Childhood Education and Care."
Diploma,"Any Australian registered training organisation or accredited higher education provider","Diploma of Early Childhood Education and Care",CHC50121,"Any date",National,Australia,"CHC50121 is superseded by CHC50125 Diploma of Early Childhood Education and Care."
Diploma,"Any Australian registered training organisation or accredited higher education provider","Advanced Certificate in Child Care (Stream 3222)",,"Any date before 1 January 2012",National,Australia,
Diploma,"Any Australian registered training organisation or accredited higher education provider","Diploma of Early Childhood Education and Care",CHC50125,"Any date",National,Australia,
"Certificate III","Any Australian registered training organisation or accredited higher education provider","Certificate III in Early Childhood Education and Care",CHC30125,"Any date",National,Australia,
Diploma,"Any NZ accredited training organisation","Diploma - New Zealand Free Kindergarten Union",,"Any date before 1 January 2012",Queensland,"New Zealand","This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
